=== Tenant Migration Log Started: 2026-01-22T01:20:45.080701900 ===
[01:20:46] [4] [categories] 22_1768669988541 -> 22_1768669988541 [OK]
[01:20:46] [4] [categories] 23 -> 23 [OK]
[01:20:46] [4] [categories] 23_1768669988547 -> 23_1768669988547 [OK]
[01:20:46] [4] [categories] 24 -> 24 [OK]
[01:20:46] [4] [categories] 24_1768669988550 -> 24_1768669988550 [OK]
[01:20:46] [4] [categories] 25 -> 25 [OK]
[01:20:46] [4] [categories] 25_1768669988554 -> 25_1768669988554 [OK]
[01:20:46] [4] [categories] 26 -> 26 [OK]
[01:20:46] [4] [categories] 26_1768669988559 -> 26_1768669988559 [OK]
[01:20:46] [4] [categories] 27 -> 27 [OK]
[01:20:46] [4] [categories] 27_1768669988563 -> 27_1768669988563 [OK]
[01:20:46] [4] [categories] 28 -> 28 [OK]
[01:20:46] [4] [categories] 28_1768669988565 -> 28_1768669988565 [OK]
[01:20:46] [4] [categories] 29 -> 29 [OK]
[01:20:46] [4] [categories] 29_1768669988569 -> 29_1768669988569 [OK]
[01:20:46] [4] [categories] 2_1768669988530 -> 2_1768669988530 [OK]
[01:20:46] [4] [categories] 3 -> 3 [OK]
[01:20:46] [4] [categories] 30 -> 30 [OK]
[01:20:46] [4] [categories] 30_1768669988575 -> 30_1768669988575 [OK]
[01:20:46] [4] [categories] 31 -> 31 [OK]
[01:20:46] [4] [categories] 31_1768669988578 -> 31_1768669988578 [OK]
[01:20:46] [4] [categories] 3_1768669988572 -> 3_1768669988572 [OK]
[01:20:46] [4] [categories] 5 -> 5 [OK]
[01:20:46] [4] [categories] 5_1768669988580 -> 5_1768669988580 [OK]
[01:20:46] [4] [categories] 6 -> 6 [OK]
[01:20:46] [4] [categories] 6_1768669988584 -> 6_1768669988584 [OK]
[01:20:46] [4] [categories] 8 -> 8 [OK]
[01:20:46] [4] [categories] 8_1768669988586 -> 8_1768669988586 [OK]
[01:20:46] [4] [categories] 9 -> 9 [OK]
[01:20:46] [4] [categories] 9_1768669988589 -> 9_1768669988589 [OK]
[01:20:46] [4] [customers] 10 -> 10 [OK]
[01:20:46] [4] [customers] 10_1768669988593 -> 10_1768669988593 [OK]
[01:20:46] [4] [customers] 18 -> 18 [OK]
[01:20:46] [4] [customers] 18_1768669988595 -> 18_1768669988595 [OK]
[01:20:46] [4] [customers] 7 -> 7 [OK]
[01:20:46] [4] [customers] 7_1768669988598 -> 7_1768669988598 [OK]
[01:20:46] [4] [customers] 87 -> 87 [OK]
[01:20:46] [4] [customers] 87_1768669988600 -> 87_1768669988600 [OK]
[01:20:46] [4] [customers] 88 -> 88 [OK]
[01:20:46] [4] [customers] 88_1768669988604 -> 88_1768669988604 [OK]
[01:20:46] [4] [products] 1 -> 1 [OK]
[01:20:46] [4] [products] 10 -> 10 [OK]
[01:20:46] [4] [products] 100 -> 100 [OK]
[01:20:46] [4] [products] 100_1768669988615 -> 100_1768669988615 [OK]
[01:20:46] [4] [products] 101 -> 101 [OK]
[01:20:46] [4] [products] 101_1768669988619 -> 101_1768669988619 [OK]
[01:20:46] [4] [products] 102 -> 102 [OK]
[01:20:46] [4] [products] 102_1768669988622 -> 102_1768669988622 [OK]
[01:20:46] [4] [products] 103 -> 103 [OK]
[01:20:46] [4] [products] 103_1768669988625 -> 103_1768669988625 [OK]
[01:20:46] [4] [products] 104 -> 104 [OK]
[01:20:46] [4] [products] 104_1768669988636 -> 104_1768669988636 [OK]
[01:20:46] [4] [products] 105 -> 105 [OK]
[01:20:46] [4] [products] 105_1768669988640 -> 105_1768669988640 [OK]
[01:20:46] [4] [products] 106 -> 106 [OK]
[01:20:46] [4] [products] 106_1768669988643 -> 106_1768669988643 [OK]
[01:20:46] [4] [products] 10_1768669988612 -> 10_1768669988612 [OK]
[01:20:46] [4] [products] 11 -> 11 [OK]
[01:20:46] [4] [products] 11_1768669988645 -> 11_1768669988645 [OK]
[01:20:46] [4] [products] 12 -> 12 [OK]
[01:20:46] [4] [products] 12_1768669988650 -> 12_1768669988650 [OK]
[01:20:46] [4] [products] 14 -> 14 [OK]
[01:20:46] [4] [products] 14_1768669988654 -> 14_1768669988654 [OK]
[01:20:46] [4] [products] 15 -> 15 [OK]
[01:20:46] [4] [products] 15_1768669988656 -> 15_1768669988656 [OK]
[01:20:46] [4] [products] 16 -> 16 [OK]
[01:20:46] [4] [products] 16_1768669988659 -> 16_1768669988659 [OK]
[01:20:46] [4] [products] 17 -> 17 [OK]
[01:20:46] [4] [products] 17_1768669988663 -> 17_1768669988663 [OK]
[01:20:46] [4] [products] 18 -> 18 [OK]
[01:20:46] [4] [products] 18_1768669988667 -> 18_1768669988667 [OK]
[01:20:46] [4] [products] 19 -> 19 [OK]
[01:20:46] [4] [products] 19_1768669988671 -> 19_1768669988671 [OK]
[01:20:46] [4] [products] 1_1768669988608 -> 1_1768669988608 [OK]
[01:20:46] [4] [products] 2 -> 2 [OK]
[01:20:46] [4] [products] 20 -> 20 [OK]
[01:20:46] [4] [products] 20_1768669988679 -> 20_1768669988679 [OK]
[01:20:46] [4] [products] 21 -> 21 [OK]
[01:20:46] [4] [products] 21_1768669988682 -> 21_1768669988682 [OK]
[01:20:46] [4] [products] 22 -> 22 [OK]
[01:20:46] [4] [products] 22_1768669988685 -> 22_1768669988685 [OK]
[01:20:46] [4] [products] 23 -> 23 [OK]
[01:20:46] [4] [products] 23_1768669988689 -> 23_1768669988689 [OK]
[01:20:46] [4] [products] 24 -> 24 [OK]
[01:20:46] [4] [products] 24_1768669988693 -> 24_1768669988693 [OK]
[01:20:46] [4] [products] 25 -> 25 [OK]
[01:20:46] [4] [products] 25_1768669988697 -> 25_1768669988697 [OK]
[01:20:46] [4] [products] 26 -> 26 [OK]
[01:20:46] [4] [products] 26_1768669988701 -> 26_1768669988701 [OK]
[01:20:46] [4] [products] 27 -> 27 [OK]
[01:20:46] [4] [products] 27_1768669988704 -> 27_1768669988704 [OK]
[01:20:46] [4] [products] 28 -> 28 [OK]
[01:20:46] [4] [products] 28_1768669988708 -> 28_1768669988708 [OK]
[01:20:46] [4] [products] 29 -> 29 [OK]
[01:20:46] [4] [products] 29_1768669988711 -> 29_1768669988711 [OK]
[01:20:46] [4] [products] 2_1768669988674 -> 2_1768669988674 [OK]
[01:20:46] [4] [products] 3 -> 3 [OK]
[01:20:46] [4] [products] 30 -> 30 [OK]
[01:20:46] [4] [products] 30_1768669988716 -> 30_1768669988716 [OK]
[01:20:46] [4] [products] 31 -> 31 [OK]
[01:20:47] [4] [products] 31_1768669988719 -> 31_1768669988719 [OK]
[01:20:47] [4] [products] 32 -> 32 [OK]
[01:20:47] [4] [products] 32_1768669988724 -> 32_1768669988724 [OK]
[01:20:47] [4] [products] 33 -> 33 [OK]
[01:20:47] [4] [products] 33_1768669988727 -> 33_1768669988727 [OK]
[01:20:47] [4] [products] 34 -> 34 [OK]
[01:20:47] [4] [products] 34_1768669988730 -> 34_1768669988730 [OK]
[01:20:47] [4] [products] 35 -> 35 [OK]
[01:20:47] [4] [products] 35_1768669988733 -> 35_1768669988733 [OK]
[01:20:47] [4] [products] 36 -> 36 [OK]
[01:20:47] [4] [products] 36_1768669988736 -> 36_1768669988736 [OK]
[01:20:47] [4] [products] 37 -> 37 [OK]
[01:20:47] [4] [products] 37_1768669988743 -> 37_1768669988743 [OK]
[01:20:47] [4] [products] 38 -> 38 [OK]
[01:20:47] [4] [products] 38_1768669988748 -> 38_1768669988748 [OK]
[01:20:47] [4] [products] 39 -> 39 [OK]
